,,dRICH config,,,,Beam,,,,,Firmware,,SiPM status,,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,radiator gas,mirror (mm),rad. aerogel,mirror (mm),Status,Polarity,Collimators,GeV,Trigger,Imaging,Timing,Temperature (C),Bias Voltage (V),Calibration,DCR scan,Physics,N spills,GEM,Triggers,Quality,Archived,Notes,,,,,,,,,,,,,,,,,,,
date of the runbook entry,time of the run book entry ,,,,position of the dRICH aerogel mirror along Z xaxis,"beam status, wheather beam is ON or OFF",the polarity of the beam,,the momentum of the beam,,the firmware used for the KC705s on the imaging readout (all but 200),the firmware use for the KC705 for the timing readout (200),"the setpoint temperature, use notes for exceptions",the bias voltage,run name of the baselne calibration run as received on Telegram message,run name of the DCR scan as received on Telegram message,,number of spills collected in the run,,,"the quality of the run has to be stated, if good bad or some warnings ",,,,,,,,,,,,,,,,,,,,,
26/05/2024,morning,,,"aerogel 1.02
2x 2 cm tiles
AG22-J001 (1.021)
AG22-J003 (1.0207)
side B",75,off,negative,,11.5,"193: Luca-and-16x10
194: Luca-GEM",dual-ext-std-tb2024-base.02,single-ext-std-tb2024-base.02,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-130232,,,,,,,,baseline problems with kc705-199 chip-1 lane-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-140313,,,,,,,,"only on kc705-199, still problems as above",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-141034,,,,,,,,"again, only on kc705-199, manually edited",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,53,,20240526-143658,,,,,,,"test DCR scan, looks ok",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,deltathr = 15 (cherenkov),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,deltethr = 25 (timing),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,deltathr = 1 (tracking),,,,,,,,,,,,,,,,,,,
,,,,,20,on,negative,12,11.5,,,,-20,54,,,20240527-190539,10,,,good,,TEST RUN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-191549,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,OpMode = 0 on kc705-199 chip-2 channel 25 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,adjusted by hands threshold on kc705-199 chip-1 channel-30 and channel-35,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-193830,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-194649,50,,,warning,,,,,,,,,,,,,,,,,,,,,
,,,,,75,,,,,,,,,,,,20240527-201403,50,,,,,mirror at 75 mm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,,,,,,,SETTING THRESHOLD CHERENKOV | CET043 at 2 bar | CET040 at 6.5 bar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,MEMO THERSHOLD: 2 bar per pion ID e tagliare i K fino a 12 GeV | 6.5 bar per tagliare i protoni fino a 12 GeV,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"193: Luca-and-16x10
194: Luca-GEM
195: Cherenkov CET043
196: Cherenkov CET040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,on,positive,12,8,,,,,,,,20240527-214643,5,,,good,,TEST RUN WITH POSITIVE BEAM,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,,,,,,,,,20240527-215804,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,20240527-221053,50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-223705,,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-223822,,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-224456,,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-224747,,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-225045,,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240527-230311,5,,,bad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2024,night,,,,,,,,,,,,,,,,,,,,,,MOMENTUM SCAN WITH POSITIVE BEAM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2024,morning,,,,,,,,,,,,,,,,,,,,,,"[09:30] warming up, we do operation for aerogel ",,,,,,,,,,,,,,,,,,,
,,,,with PASS 400-450,20,on,negative,12,11.5,,,,-20,54,,,,,,,,,mounted FILTER PASS_400_450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,afternoon,,,,,,,,,,,,,,,,20240528-133821,10,,,good,,STARTING,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-135112,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-140354,100,,,bad,,LONG RUNS with FILTER 400-450 --> stopped NO BEAM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-143620,10,,,bad,,problems with magnet ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-144352,10,,,bad,,still,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-150547,10,,,bad,,magnet intervention needed,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,WARMING UP to mount FILTER 350,,,,,,,,,,,,,,,,,,,
,,,,with FILTER 350,,,,,,,,,,,,,,,,,,,mounted filter 350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"magnet is back, cooling down ",,,,,,,,,,,,,,,,,,,
,evening,,,,,,,,,,,,,,,,20240528-180358,10,,,good,,STARTING,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-181325,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-181849,100,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-185003,100,,,warning,,might need to be decoded again,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-192022,100,,,bad,,disk full,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-192626,100,,,bad,,disk full,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-194117,100,,,bad,,magnet issue,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-201440,100,,,bad,,magnet issue,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-203618,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-204147,50,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-210219,50,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-214845,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-221301,25,,,,,da vedere il grafico,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-222352,50,,,bad,,magnete giu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-223027,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-224021,50,,,bad,,magnete giu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-224425,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-225409,25,,,bad,,magnete giu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-225902,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-232244,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240528-234802,25,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20240529-001739,25,,,good,,,,,,,,,,,,,,,,,,,,,
