# file created on Thu Aug  1 09:43:55 2024
# Date,  Time,  radiator gas,  mirror (mm),  rad. aerogel,  mirror (mm),  Status,  Polarity,  Collimators,  GeV,  Trigger,  Imaging,  Timing,  Temperature (C),  Bias Voltage (V),  Calibration,  DCR scan,  Physics,  N spills,  GEM,  Triggers,  Quality,  Archived,  Notes,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  ,  ,  ,  ,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  
20240526-143658,  ,  night,  night,  single-ext-std-tb2024-base.02,  -20,  50,  50,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-001117,  10,  -,  -,  good,  MOMENTUM SCAN,  MOMENTUM SCAN
20240526-143658,  ,  194: Luca-GEM",  night,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  50,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-001117,  10,  -,  -,  good,  -,  MOMENTUM SCAN
20240526-143658,  ,  194: Luca-GEM",  night,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  50,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-001117,  10,  -,  -,  good,  -,  MOMENTUM SCAN
20240527-105518,  27/05/2024,  morning,  morning,  single-ext-std-tb2024-base.02,  -20,  50,  on,  negative,  12,  11.5,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-105518,  10,  10,  -,  good,  good,  "mirror scan,   again at 50 with -11.5 GeV/c"
20240527-110422,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  20,  20,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-110422,  10,  10,  -,  good,  good,  -,  "mirror scan
20240527-111009,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  10,  10,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-111009,  10,  10,  -,  good,  good,  -,  "mirror scan
20240527-111636,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  0,  0,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-111636,  10,  10,  -,  good,  good,  -,  "mirror scan
20240527-112432,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  110,  110,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-112432,  10,  10,  -,  good,  good,  -,  "mirror scan
20240527-112432,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  120,  120,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-112432,  10,  10,  -,  bad,  bad,  Power cut,  Power cut
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  120,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-112432,  10,  -,  -,  bad,  timing backside trips on ALCOR digital,  timing backside trips on ALCOR digital
